Team,player name,first name,second name,Salary,Position
New York Yankees, Juan Acevedo, Juan,Acevedo,900000.00,Pitcher
New York Yankees, Jason Anderson, Jason,Anderson,300000.00,Pitcher
New York Yankees, Roger Clemens, Roger,Clemens,10100000.00,Pitcher
New York Yankees, Jose Contreras, Jose,Contreras,5500000.00,Pitcher
New York Yankees, John Flaherty, John,Flaherty,750000.00,Catcher
New York Yankees, Jason Giambi, Jason,Giambi,11428571.00,First Baseman
New York Yankees, Chris Hammond, Chris,Hammond,2200000.00,Pitcher
New York Yankees, Sterling Hitchcock, Sterling,Hitchcock,6000000.00,Pitcher
New York Yankees, Derek Jeter, Derek,Jeter,15600000.00,Shortstop
New York Yankees, Nick Johnson, Nick,Johnson,364100.00,First Baseman
New York Yankees, Steve Karsay, Steve,Karsay,5000000.00,Pitcher
New York Yankees, Chris Latham, Chris,Latham,400000.00,Outfielder
New York Yankees, Jon Liever, Jon,Liever,550000.00,Pitcher
New York Yankees, Hideki Matsui, Hideki,Matsui,6000000.00,Outfielder
New York Yankees, Raul Mondesi, Raul,Mondesi,13000000.00,Outfielder
New York Yankees, Mike Mussina, Mike,Mussina,12000000.00,Pitcher
New York Yankees, Antonio Osuna, Antonio,Osuna,2400000.00,Pitcher
New York Yankees, Andy Pettitte, Andy,Pettitte,11500000.00,Pitcher
New York Yankees, Jorge Posada, Jorge,Posada,8000000.00,Catcher
New York Yankees, Mariano Rivera, Mariano,Rivera,10500000.00,Pitcher
New York Yankees, Alfonso Soriano, Alfonso,Soriano,800000.00,Second Baseman
New York Yankees, Bubba Trammell, Bubba,Trammell,2500000.00,Outfielder
New York Yankees, Robin Ventura, Robin,Ventura,5000000.00,Third Baseman
New York Yankees, Jeff Weaver, Jeff,Weaver,4150000.00,Pitcher
New York Yankees, David Wells, David,Wells,3250000.00,Pitcher
New York Yankees, Bernie Williams, Bernie,Williams,12357143.00,Outfielder
New York Yankees, Enrique Wilson, Enrique,Wilson,700000.00,Shortstop
New York Yankees, Todd Zeile, Todd,Zeile,1500000.00,Third Baseman
Anaheim Angels, Garret Anderson, Garret,Anderson,5350000.00,Outfielder
Anaheim Angels, Kevin Appier, Kevin,Appier,11500000.00,Pitcher
Anaheim Angels, Mickey Callaway, Mickey,Callaway,302500.00,Pitcher
Anaheim Angels, Brendan Donnelly, Brendan,Donnelly,325000.00,Pitcher
Anaheim Angels, David Eckstein, David,Eckstein,425000.00,Shortstop
Anaheim Angels, Darin Erstad, Darin,Erstad,7250000.00,Outfielder
Anaheim Angels, Brad Fullmer, Brad,Fullmer,1000000.00,First Baseman
Anaheim Angels, Benji Gil, Benji,Gil,725000.00,Shortstop
Anaheim Angels, Troy Glaus, Troy,Glaus,7250000.00,Third Baseman
Anaheim Angels, Adam Kennedy, Adam,Kennedy,2270000.00,Second Baseman
Anaheim Angels, John Lackey, John,Lackey,315000.00,Pitcher
Anaheim Angels, Benjie Molina, Benjie,Molina,1425000.00,Catcher
Anaheim Angels, Jose Molina, Jose,Molina,320000.00,Catcher
Anaheim Angels, Ramon Ortiz, Ramon,Ortiz,2266667.00,Pitcher
Anaheim Angels, Eric Owens, Eric,Owens,925000.00,Outfielder
Anaheim Angels, Troy Percival, Troy,Percival,7833333.00,Pitcher
Anaheim Angels, Julio Ramirez, Julio,Ramirez,300000.00,Outfielder
Anaheim Angels, Francisco Rodriquez, Francisco,Rodriquez,312500.00,Pitcher
Anaheim Angels, Tim Salmon, Tim,Salmon,9900000.00,Outfielder
Anaheim Angels, Scott Schoeneweis, Scott,Schoeneweis,1425000.00,Pitcher
Anaheim Angels, Aaron Sele, Aaron,Sele,8166667.00,Pitcher
Anaheim Angels, Scot Shields, Scot,Shields,305000.00,Pitcher
Anaheim Angels, Scott Spiezio, Scott,Spiezio,4250000.00,First Baseman
Anaheim Angels, Jarrod Washburn, Jarrod,Washburn,3875000.00,Pitcher
Anaheim Angels, Ben Weber, Ben,Weber,375000.00,Pitcher
Anaheim Angels, Matt Wise, Matt,Wise,302500.00,Pitcher
Anaheim Angels, Shawn Wooten, Shawn,Wooten,337500.00,Catcher
